species,island,flipper_length_mm,body_mass_g,sex,year,body_mass_kg
Adelie Penguin (Pygoscelis adeliae),Torgersen,181,3750,MALE,2007,3.75
Adelie Penguin (Pygoscelis adeliae),Torgersen,186,3800,FEMALE,2007,3.8
Adelie Penguin (Pygoscelis adeliae),Torgersen,195,3250,FEMALE,2007,3.25
Adelie Penguin (Pygoscelis adeliae),Torgersen,193,3450,FEMALE,2007,3.45
Adelie Penguin (Pygoscelis adeliae),Torgersen,190,3650,MALE,2007,3.65
Adelie Penguin (Pygoscelis adeliae),Torgersen,181,3625,FEMALE,2007,3.625
Adelie Penguin (Pygoscelis adeliae),Torgersen,195,4675,MALE,2007,4.675
Adelie Penguin (Pygoscelis adeliae),Torgersen,193,3475,NA,2007,3.475
Adelie Penguin (Pygoscelis adeliae),Torgersen,190,4250,NA,2007,4.25
Adelie Penguin (Pygoscelis adeliae),Torgersen,186,3300,NA,2007,3.3
Adelie Penguin (Pygoscelis adeliae),Torgersen,180,3700,NA,2007,3.7
Adelie Penguin (Pygoscelis adeliae),Torgersen,182,3200,FEMALE,2007,3.2
Adelie Penguin (Pygoscelis adeliae),Torgersen,191,3800,MALE,2007,3.8
Adelie Penguin (Pygoscelis adeliae),Torgersen,198,4400,MALE,2007,4.4
Adelie Penguin (Pygoscelis adeliae),Torgersen,185,3700,FEMALE,2007,3.7
Adelie Penguin (Pygoscelis adeliae),Torgersen,195,3450,FEMALE,2007,3.45
Adelie Penguin (Pygoscelis adeliae),Torgersen,197,4500,MALE,2007,4.5
Adelie Penguin (Pygoscelis adeliae),Torgersen,184,3325,FEMALE,2007,3.325
Adelie Penguin (Pygoscelis adeliae),Torgersen,194,4200,MALE,2007,4.2
Adelie Penguin (Pygoscelis adeliae),Biscoe,174,3400,FEMALE,2007,3.4
Adelie Penguin (Pygoscelis adeliae),Biscoe,180,3600,MALE,2007,3.6
Adelie Penguin (Pygoscelis adeliae),Biscoe,189,3800,FEMALE,2007,3.8
Adelie Penguin (Pygoscelis adeliae),Biscoe,185,3950,MALE,2007,3.95
Adelie Penguin (Pygoscelis adeliae),Biscoe,180,3800,MALE,2007,3.8
Adelie Penguin (Pygoscelis adeliae),Biscoe,187,3800,FEMALE,2007,3.8
Adelie Penguin (Pygoscelis adeliae),Biscoe,183,3550,MALE,2007,3.55
Adelie Penguin (Pygoscelis adeliae),Biscoe,187,3200,FEMALE,2007,3.2
Adelie Penguin (Pygoscelis adeliae),Biscoe,172,3150,FEMALE,2007,3.15
Adelie Penguin (Pygoscelis adeliae),Biscoe,180,3950,MALE,2007,3.95
Adelie Penguin (Pygoscelis adeliae),Dream,178,3250,FEMALE,2007,3.25
Adelie Penguin (Pygoscelis adeliae),Dream,178,3900,MALE,2007,3.9
Adelie Penguin (Pygoscelis adeliae),Dream,188,3300,FEMALE,2007,3.3
Adelie Penguin (Pygoscelis adeliae),Dream,184,3900,MALE,2007,3.9
Adelie Penguin (Pygoscelis adeliae),Dream,195,3325,FEMALE,2007,3.325
Adelie Penguin (Pygoscelis adeliae),Dream,196,4150,MALE,2007,4.15
Adelie Penguin (Pygoscelis adeliae),Dream,190,3950,MALE,2007,3.95
Adelie Penguin (Pygoscelis adeliae),Dream,180,3550,FEMALE,2007,3.55
Adelie Penguin (Pygoscelis adeliae),Dream,181,3300,FEMALE,2007,3.3
Adelie Penguin (Pygoscelis adeliae),Dream,184,4650,MALE,2007,4.65
Adelie Penguin (Pygoscelis adeliae),Dream,182,3150,FEMALE,2007,3.15
Adelie Penguin (Pygoscelis adeliae),Dream,195,3900,MALE,2007,3.9
Adelie Penguin (Pygoscelis adeliae),Dream,186,3100,FEMALE,2007,3.1
Adelie Penguin (Pygoscelis adeliae),Dream,196,4400,MALE,2007,4.4
Adelie Penguin (Pygoscelis adeliae),Dream,185,3000,FEMALE,2007,3
Adelie Penguin (Pygoscelis adeliae),Dream,190,4600,MALE,2007,4.6
Adelie Penguin (Pygoscelis adeliae),Dream,182,3425,MALE,2007,3.425
Adelie Penguin (Pygoscelis adeliae),Dream,179,2975,NA,2007,2.975
Adelie Penguin (Pygoscelis adeliae),Dream,190,3450,FEMALE,2007,3.45
Adelie Penguin (Pygoscelis adeliae),Dream,191,4150,MALE,2007,4.15
Adelie Penguin (Pygoscelis adeliae),Biscoe,186,3500,FEMALE,2008,3.5
Adelie Penguin (Pygoscelis adeliae),Biscoe,188,4300,MALE,2008,4.3
Adelie Penguin (Pygoscelis adeliae),Biscoe,190,3450,FEMALE,2008,3.45
Adelie Penguin (Pygoscelis adeliae),Biscoe,200,4050,MALE,2008,4.05
Adelie Penguin (Pygoscelis adeliae),Biscoe,187,2900,FEMALE,2008,2.9
Adelie Penguin (Pygoscelis adeliae),Biscoe,191,3700,MALE,2008,3.7
Adelie Penguin (Pygoscelis adeliae),Biscoe,186,3550,FEMALE,2008,3.55
Adelie Penguin (Pygoscelis adeliae),Biscoe,193,3800,MALE,2008,3.8
Adelie Penguin (Pygoscelis adeliae),Biscoe,181,2850,FEMALE,2008,2.85
Adelie Penguin (Pygoscelis adeliae),Biscoe,194,3750,MALE,2008,3.75
Adelie Penguin (Pygoscelis adeliae),Biscoe,185,3150,FEMALE,2008,3.15
Adelie Penguin (Pygoscelis adeliae),Biscoe,195,4400,MALE,2008,4.4
Adelie Penguin (Pygoscelis adeliae),Biscoe,185,3600,FEMALE,2008,3.6
Adelie Penguin (Pygoscelis adeliae),Biscoe,192,4050,MALE,2008,4.05
Adelie Penguin (Pygoscelis adeliae),Biscoe,184,2850,FEMALE,2008,2.85
Adelie Penguin (Pygoscelis adeliae),Biscoe,192,3950,MALE,2008,3.95
Adelie Penguin (Pygoscelis adeliae),Biscoe,195,3350,FEMALE,2008,3.35
Adelie Penguin (Pygoscelis adeliae),Biscoe,188,4100,MALE,2008,4.1
Adelie Penguin (Pygoscelis adeliae),Torgersen,190,3050,FEMALE,2008,3.05
Adelie Penguin (Pygoscelis adeliae),Torgersen,198,4450,MALE,2008,4.45
Adelie Penguin (Pygoscelis adeliae),Torgersen,190,3600,FEMALE,2008,3.6
Adelie Penguin (Pygoscelis adeliae),Torgersen,190,3900,MALE,2008,3.9
Adelie Penguin (Pygoscelis adeliae),Torgersen,196,3550,FEMALE,2008,3.55
Adelie Penguin (Pygoscelis adeliae),Torgersen,197,4150,MALE,2008,4.15
Adelie Penguin (Pygoscelis adeliae),Torgersen,190,3700,FEMALE,2008,3.7
Adelie Penguin (Pygoscelis adeliae),Torgersen,195,4250,MALE,2008,4.25
Adelie Penguin (Pygoscelis adeliae),Torgersen,191,3700,FEMALE,2008,3.7
Adelie Penguin (Pygoscelis adeliae),Torgersen,184,3900,MALE,2008,3.9
Adelie Penguin (Pygoscelis adeliae),Torgersen,187,3550,FEMALE,2008,3.55
